Record,exclude,Countytype,Age,Gender,BUS,BUS_history,EI,NascEntr,BUS_current,BRT,HPSs,RES_HPSs,ZRE_HPSs,ZHPSs,ZBRT
87,0,1,28,1,1,0,13,0,0,3.5,4.076923077,0.295904053,0.473623389,0.821208812,1.212295564
88,0,1,41,0,0,-1,8,0,-1,2.625,2.846153846,-0.826005751,-1.322103023,-1.112500849,0.235312347
89,0,3,55,0,0,-1,9,0,-1,2.625,3.846153846,0.293472361,0.469731228,0.45863825,0.235312347
90,0,1,69,0,1,0,9,0, ,1.625,3.692307692,0.259104319,0.414721814,0.216924543,-0.881239901
92,0,1,77,1,1,0,8,0,1,1.5,3.416666667,0.053821035,0.086145833,-0.21614585,-1.020808932
93,0,1,47,0,1,0,18,1,2, ,3.769230769,0.148276077,0.237330369,0.337781397, 
94,0,1,87,1,0,-1, ,0,-1,1,1.769230769,-1.508273353,-2.414139075,-2.804496802,-1.579085055
95,0,1,58,0,1,0,12,0,0,3,3.461538462,-0.065540571,-0.104904096,-0.145646019,0.65401944
96,0,1,64,1,0,-1,10,0,-1,1,1.923076923,-1.55071267,-2.482067352,-2.562783095,-1.579085055
97,0,1,49,0,1,1,12,0,0,3,3.461538462,-0.142347929,-0.227841788,-0.145646019,0.65401944
98,0,1,56,0,1,0,12,0,0,3.5,2.461538462,-1.082608873,-1.732821425,-1.716785118,1.212295564
99,0,3,65,0,1,0,9,0,0,1.375,3.846153846,0.37881387,0.606328662,0.45863825,-1.160377963
100,0,3,51,0,1,1,20,1,2,3.125,4.461538462,0.874720373,1.400075541,1.425493081,0.793588471
101,0,3,50,1,0,-1,11,0,-1,2.5,3.846153846,0.252886141,0.404769012,0.45863825,0.095743316
102,0,1,54,0,1,0,10,0,0,1.625,2,-1.561215636,-2.498878378,-2.441926241,-0.881239901
103,0,1,73,1,1,1,9,1,2,2.25,3.416666667,0.019684432,0.031506859,-0.21614585,-0.183394746
104,0,1,29,0,0,-1,12,0,-1,1.75,4.230769231,0.456199823,0.730192452,1.062922519,-0.74167087
105,0,3,53,1,1,1,18,0,1,2.75,4,0.432334748,0.691994064,0.700351958,0.374881378
106,0,3,37,1,0,-1,18,0,-1,2.875,3.846153846,0.14194218,0.227192347,0.45863825,0.514450409
107,0,1,58,0,1,1,14,0,0,1.625,4.307692308,0.780613275,1.249447924,1.183779373,-0.881239901
108,0,1,59,0,0,-1,12,0,-1,2.625,4.307692308,0.789147426,1.263107667,1.183779373,0.235312347
109,0,1,51,0,1,0,13,0,1,3.125,4,0.413181911,0.661338076,0.700351958,0.793588471
110,0,1,71,0,1,0,4,0,1,1.125,3.416666667,0.000531595,0.000850871,-0.21614585,-1.439516025
111,0,1,55,0,1,1,11,0,1,3.125,4.538461538,0.985780053,1.577837426,1.546349935,0.793588471
112,0,1,49,0,0,-1,8,0,-1,2.375,4,0.39611361,0.634018589,0.700351958,-0.043825715
113,0,1,53,0,1,0,13,0,0,2,3.461538462,-0.108211325,-0.173202814,-0.145646019,-0.462532808
114,0,3,75,1,0,-1,6,0,-1,2,2.846153846,-0.533760087,-0.854335243,-1.112500849,-0.462532808
115,0,1,63,1,0,-1,9,0,-1,1.375,3.307692308,-0.174631436,-0.279514699,-0.387359726,-1.160377963
116,0,1,57,1,1,1,9,0,1,2.625,3.076923077,-0.456605572,-0.730841893,-0.749930288,0.235312347
117,0,3,16,1,1,0,15,0,1,3.625,3.692307692,-0.191121142,-0.305908088,0.216924543,1.351864595
118,0,3,74,0,0,-1,15,0,-1,2.125,3.538461538,0.14792892,0.23677471,-0.024789165,-0.322963777
119,0,3,64,0,1,0,14,0,1,2.625,3.615384615,0.139510488,0.223300186,0.096067689,0.235312347
120,0,1,56,0,1,0,6,0,0,1,4.333333333,0.789185999,1.263169407,1.224064991,-1.579085055
121,0,1,64,0,1,0, ,0,1,1,3.769230769,0.293356642,0.469546008,0.337781397,-1.579085055
122,0,1,57,1,1,0,11,0,1,2.625,3.384615385,-0.148913264,-0.238350249,-0.266502872,0.235312347
124,0,1,51,0,0,-1,9,0,-1,1.25,2.923076923,-0.663741166,-1.062382677,-0.991643995,-1.299946994
125,0,3,56,0,0,-1,7,0,-1,1.375,2.615384615,-0.928762719,-1.486575603,-1.47507141,-1.160377963
126,0,1,54,1,0,-1,9,0,-1,1.75,3.384615385,-0.174515717,-0.27932948,-0.266502872,-0.74167087
127,0,1,41,0,0,-1,5,0,-1,2,3.692307692,0.020148095,0.032248997,0.216924543,-0.462532808
128,0,1,60,1,0,-1,8,0,-1,1.875,2.384615385,-1.123310812,-1.797968861,-1.837641972,-0.602101839
129,0,1,57,0,0,-1,9,0,-1,2.125,4,0.464386817,0.743296536,0.700351958,-0.322963777
130,0,1,64,0,1,1,7,0,0,1,3.615384615,0.139510488,0.223300186,0.096067689,-1.579085055
131,0,3,46,1,0,-1,11,0,-1,2.375,3.230769231,-0.396635078,-0.634853249,-0.50821658,-0.043825715
132,0,1,48,1,1,0,9,0,0,3.625,3.846153846,0.23581784,0.377449525,0.45863825,1.351864595
133,0, ,74,0,0,-1,8,0,-1,1,3.615384615,0.224851997,0.359897621,0.096067689,-1.579085055
134,0,1,58,0,1,0, ,0,0,1,3.615384615,0.088305583,0.141341725,0.096067689,-1.579085055
135,0,1,34,0,1,0,6,0,1,2.75,3.461538462,-0.270360192,-0.43273794,-0.145646019,0.374881378
136,0,3,32,0,0,-1,7,0,-1,2,3.692307692,-0.056659263,-0.090688694,0.216924543,-0.462532808
137,0,1,67,0,1,0,9,0,1,3.125,4.076923077,0.626651402,1.003016882,0.821208812,0.793588471
138,0,3,51,0,0,-1,9,0,-1,2,3.769230769,0.182412681,0.291969343,0.337781397,-0.462532808
139,0,1,50,1,0,-1,13,0,-1,1.875,2.076923077,-1.516344628,-2.427057939,-2.321069387,-0.602101839
140,0,3,61,1,1,1,21,1,2,3.125,3.692307692,0.192915647,0.308780368,0.216924543,0.793588471
141,0,1,86,0,0,-1, ,0,-1,3,3.307692308,0.019569499,0.031322899,-0.387359726,0.65401944
142,0,1,69,0,0,-1,9,0,-1,1.25,3.461538462,0.028335089,0.045353082,-0.145646019,-1.299946994
143,0,3,59,1,1,0,8,0,1,2,3.076923077,-0.43953727,-0.703522406,-0.749930288,-0.462532808
144,0,3,41,0,1,0,17,0,1,3,5.307692308,1.63553271,2.617830127,2.754918473,0.65401944
145,0,3,67,0,1,1,14,0,0,2.25,3.230769231,-0.219502444,-0.351335138,-0.50821658,-0.183394746
